id,date,value,logid,timestamp
6962181067,2016-03-11,2,11103653021,2016-03-11 23:29:00
6962181067,2016-03-11,2,11103653021,2016-03-11 23:30:00
6962181067,2016-03-11,1,11103653021,2016-03-11 23:31:00
6962181067,2016-03-11,2,11103653021,2016-03-11 23:32:00
6962181067,2016-03-11,2,11103653021,2016-03-11 23:33:00
6962181067,2016-03-11,2,11103653021,2016-03-11 23:34:00
6962181067,2016-03-11,2,11103653021,2016-03-11 23:35:00
6962181067,2016-03-11,2,11103653021,2016-03-11 23:36:00
6962181067,2016-03-11,2,11103653021,2016-03-11 23:37:00
6962181067,2016-03-11,1,11103653021,2016-03-11 23:38:00
6962181067,2016-03-11,1,11103653021,2016-03-11 23:39:00
6962181067,2016-03-11,1,11103653021,2016-03-11 23:40:00
6962181067,2016-03-11,1,11103653021,2016-03-11 23:41:00
6962181067,2016-03-11,1,11103653021,2016-03-11 23:42:00
6962181067,2016-03-11,1,11103653021,2016-03-11 23:43:00
6962181067,2016-03-11,1,11103653021,2016-03-11 23:44:00
6962181067,2016-03-11,1,11103653021,2016-03-11 23:45:00
6962181067,2016-03-11,1,11103653021,2016-03-11 23:46:00
6962181067,2016-03-11,1,11103653021,2016-03-11 23:47:00
6962181067,2016-03-11,1,11103653021,2016-03-11 23:48:00
6962181067,2016-03-11,1,11103653021,2016-03-11 23:49:00
6962181067,2016-03-11,1,11103653021,2016-03-11 23:50:00
6962181067,2016-03-11,1,11103653021,2016-03-11 23:51:00
6962181067,2016-03-11,1,11103653021,2016-03-11 23:52:00
6962181067,2016-03-11,1,11103653021,2016-03-11 23:53:00
6962181067,2016-03-11,1,11103653021,2016-03-11 23:54:00
6962181067,2016-03-11,1,11103653021,2016-03-11 23:55:00
6962181067,2016-03-11,1,11103653021,2016-03-11 23:56:00
6962181067,2016-03-11,1,11103653021,2016-03-11 23:57:00
6962181067,2016-03-11,1,11103653021,2016-03-11 23:58:00
6962181067,2016-03-11,1,11103653021,2016-03-11 23:59:00
6962181067,2016-03-12,1,11103653021,2016-03-12 00:00:00
6962181067,2016-03-12,1,11103653021,2016-03-12 00:01:00
6962181067,2016-03-12,1,11103653021,2016-03-12 00:02:00
6962181067,2016-03-12,1,11103653021,2016-03-12 00:03:00
6962181067,2016-03-12,1,11103653021,2016-03-12 00:04:00
6962181067,2016-03-12,1,11103653021,2016-03-12 00:05:00
6962181067,2016-03-12,1,11103653021,2016-03-12 00:06:00
6962181067,2016-03-12,1,11103653021,2016-03-12 00:07:00
