id,calories,timestamp,date,totalintensity,averageintensity,steptotal
6962181067,54,2016-03-12 00:00:00,2016-03-12,0,0.0,0
6962181067,54,2016-03-12 01:00:00,2016-03-12,0,0.0,0
6962181067,54,2016-03-12 02:00:00,2016-03-12,0,0.0,0
6962181067,54,2016-03-12 03:00:00,2016-03-12,0,0.0,0
6962181067,54,2016-03-12 04:00:00,2016-03-12,0,0.0,0
6962181067,54,2016-03-12 05:00:00,2016-03-12,0,0.0,0
6962181067,54,2016-03-12 06:00:00,2016-03-12,0,0.0,0
6962181067,126,2016-03-12 07:00:00,2016-03-12,38,0.633333,975
6962181067,124,2016-03-12 08:00:00,2016-03-12,30,0.5,1166
6962181067,224,2016-03-12 09:00:00,2016-03-12,90,1.5,3283
6962181067,111,2016-03-12 10:00:00,2016-03-12,31,0.516667,688
6962181067,106,2016-03-12 11:00:00,2016-03-12,29,0.483333,586
6962181067,234,2016-03-12 12:00:00,2016-03-12,103,1.716667,3216
6962181067,83,2016-03-12 13:00:00,2016-03-12,12,0.2,198
6962181067,62,2016-03-12 14:00:00,2016-03-12,3,0.05,110
6962181067,69,2016-03-12 15:00:00,2016-03-12,8,0.133333,148
6962181067,171,2016-03-12 16:00:00,2016-03-12,61,1.016667,2406
6962181067,181,2016-03-12 17:00:00,2016-03-12,62,1.033333,2538
6962181067,88,2016-03-12 18:00:00,2016-03-12,17,0.283333,476
6962181067,96,2016-03-12 19:00:00,2016-03-12,13,0.216667,839
6962181067,56,2016-03-12 20:00:00,2016-03-12,1,0.016667,9
6962181067,58,2016-03-12 21:00:00,2016-03-12,2,0.033333,33
6962181067,54,2016-03-12 22:00:00,2016-03-12,0,0.0,0
6962181067,54,2016-03-12 23:00:00,2016-03-12,0,0.0,0
6962181067,54,2016-03-13 00:00:00,2016-03-13,0,0.0,0
6962181067,54,2016-03-13 01:00:00,2016-03-13,0,0.0,0
6962181067,57,2016-03-13 02:00:00,2016-03-13,2,0.033333,29
6962181067,54,2016-03-13 03:00:00,2016-03-13,0,0.0,0
6962181067,54,2016-03-13 04:00:00,2016-03-13,0,0.0,0
6962181067,54,2016-03-13 05:00:00,2016-03-13,0,0.0,0
6962181067,54,2016-03-13 06:00:00,2016-03-13,0,0.0,0
6962181067,54,2016-03-13 07:00:00,2016-03-13,0,0.0,0
6962181067,126,2016-03-13 08:00:00,2016-03-13,33,0.55,858
6962181067,90,2016-03-13 09:00:00,2016-03-13,11,0.183333,433
6962181067,118,2016-03-13 10:00:00,2016-03-13,25,0.416667,555
6962181067,120,2016-03-13 11:00:00,2016-03-13,35,0.583333,825
6962181067,124,2016-03-13 12:00:00,2016-03-13,32,0.533333,1014
6962181067,78,2016-03-13 13:00:00,2016-03-13,7,0.116667,220
6962181067,57,2016-03-13 14:00:00,2016-03-13,1,0.016667,32
6962181067,68,2016-03-13 15:00:00,2016-03-13,7,0.116667,172
6962181067,145,2016-03-13 16:00:00,2016-03-13,44,0.733333,1469
6962181067,147,2016-03-13 17:00:00,2016-03-13,49,0.816667,1285
6962181067,75,2016-03-13 18:00:00,2016-03-13,12,0.2,230
6962181067,86,2016-03-13 19:00:00,2016-03-13,16,0.266667,417
6962181067,74,2016-03-13 20:00:00,2016-03-13,11,0.183333,147
6962181067,157,2016-03-13 21:00:00,2016-03-13,54,0.9,2169
6962181067,76,2016-03-13 22:00:00,2016-03-13,12,0.2,219
6962181067,73,2016-03-13 23:00:00,2016-03-13,12,0.2,162
6962181067,56,2016-03-14 00:00:00,2016-03-14,1,0.016667,26
6962181067,55,2016-03-14 01:00:00,2016-03-14,0,0.0,0
6962181067,54,2016-03-14 02:00:00,2016-03-14,0,0.0,0
6962181067,54,2016-03-14 03:00:00,2016-03-14,0,0.0,0
6962181067,56,2016-03-14 04:00:00,2016-03-14,1,0.016667,4
6962181067,54,2016-03-14 05:00:00,2016-03-14,0,0.0,0
6962181067,58,2016-03-14 06:00:00,2016-03-14,1,0.016667,13
6962181067,138,2016-03-14 07:00:00,2016-03-14,41,0.683333,976
6962181067,117,2016-03-14 08:00:00,2016-03-14,33,0.55,806
6962181067,109,2016-03-14 09:00:00,2016-03-14,28,0.466667,589
6962181067,123,2016-03-14 10:00:00,2016-03-14,30,0.5,1031
6962181067,102,2016-03-14 11:00:00,2016-03-14,21,0.35,593
